,energy,pitch angle,flag,flux,eflux,bx,xgsm,ygsm,zgsm,beta,imfBy,imfBz,storm_phase,velocity_o_all,v_par_all,v_perp_all,density_o_all,pressure_o_all,density_h_all,swp,swv,kp,dst,datetime_str,year,kp_gt_2,storm,region,energy_int
5178,1.8421173095703118,16.875,1.0,1491.87861792727,18447.527587890618,-41.55939865112305,-1.3183063383407692,-6.0195801078140425,-1.7371678417803318,0.1509521912301421,-9.484024047851562,-3.123913288116455,nonstorm,11.68197744386592,11.10084348764251,3.1169690266673333,0.5815748288620157,0.2570191066786057,0.9814332475862392,1.892428398132324,416.5086059570312,2.7,-9.0,2016-02-09 13:33:00,2016,True,False,1.0,2.0
5933,1.8421173095703118,28.125,1.0,1361.757773562383,16766.7685546875,-45.46431350708008,-1.7122576390393192,-5.9351011295267435,-1.7759268416787388,0.2644921625132816,5.06690788269043,6.301942348480225,nonstorm,7.463228757157055,1.512700394451511,7.219949238831568,0.6899524524690666,0.3976914952217038,1.445039496388277,3.470180988311768,393.2981872558594,1.0,1.0,2016-02-13 13:05:00,2016,False,False,1.0,2.0
63960,1.8421173095703118,5.625,1.0,354.9399868720494,12872.361328125,-80.55626678466797,-6.376425848186753,0.6990836361078631,0.2754103082717718,0.09710718960694846,-1.3641666173934943,1.558560490608215,nonstorm,35.71920419242222,12.19218371613405,31.16921555416266,0.016924824257366758,0.0055525895340478105,21.208680100110396,1.1787641048431399,331.9370727539062,0.255,1.0,2016-08-01 11:51:00,2016,False,False,1.0,2.0
63961,1.8421173095703118,5.625,1.0,601.4197025505863,21811.26953125,-81.30998229980469,-6.329982418430389,0.6662844590777551,0.294146016201414,0.08953469279024584,-1.391627788543701,1.5017831325531008,nonstorm,39.26389695951971,25.514829636784484,27.100412831845087,0.01746288953013409,0.0056275201838893755,23.743628398976412,1.1787641048431399,331.9370727539062,0.265,1.0,2016-08-01 11:53:00,2016,False,False,1.0,2.0
63962,1.8421173095703118,28.125,1.0,443.0279405970532,17370.99011230469,-82.1660385131836,-6.282997596557649,0.6334118605035491,0.3128480343288796,0.08247256589478807,-1.4190696477890008,1.461007833480835,nonstorm,27.477698172638284,6.783287457336412,25.96788052780937,0.02640150992270569,0.005914888972076882,24.693343913285553,1.1778022050857542,331.7868347167969,0.275,1.0,2016-08-01 11:55:00,2016,False,False,1.0,2.0
63963,1.8421173095703118,5.625,1.0,1131.6215653267411,43939.67004394531,-83.02526092529297,-6.2354627011683865,0.6004666135667605,0.3315127973854464,0.07561361061401488,-1.4445312023162842,1.404375195503235,nonstorm,30.77068610477076,10.90675085463691,26.63736350210464,0.01958879083718646,0.006668725185663336,21.158719775768322,1.177692294120789,331.5945434570312,0.285,1.0,2016-08-01 11:57:00,2016,False,False,1.0,2.0
63964,1.8421173095703118,5.625,1.0,338.6523500308742,10917.0390625,-83.87637329101562,-6.18736889785263,0.5674496360720955,0.3501365945712554,0.07060402943435089,-1.45773446559906,1.3589063882827759,nonstorm,43.909099692516214,10.31175201811317,42.042335988383144,0.01565465205162181,0.006298743021649448,18.58060750869113,1.177065253257751,331.4989624023438,0.295,1.0,2016-08-01 11:59:00,2016,False,False,1.0,2.0
72607,1.8421173095703118,5.625,1.0,297.8423370743392,10801.640625,-76.96996307373047,-5.873695739143686,1.899755520199951,-0.2905906947725566,0.280770264418672,2.412187099456787,4.855469226837158,nonstorm,10.08309775609243,5.026145643438434,8.317894721675893,0.06431313625081654,0.06328059660790658,1.254513262867426,2.0934889316558842,331.0697937011719,1.0,-5.0,2016-08-17 10:09:00,2016,False,False,1.0,2.0
102018,1.8421173095703118,5.625,1.0,1788.8731064620529,37250.6201171875,-28.006488800048828,-1.3846918750415749,7.318622973046162,-0.9524019045342792,0.6933970474646077,-2.1762340068817143,0.4886419475078583,long recovery,18.88213584962438,4.257535727391579,18.19893517399816,0.08281530841556431,0.09846685980733252,0.6995141347875354,2.050984382629395,516.8955688476561,2.49,-20.0,2016-10-16 02:09:00,2016,True,True,2.0,2.0
185943,1.8421173095703118,16.875,1.0,3194.2749502724982,79834.31225585938,62.11265182495117,-5.933459460224558,1.305426668129229,1.8141935424749343,0.6918667791820919,7.056950092315674,2.984041929244995,main phase,7.083378814454527,3.2870340670757074,6.1335961626909805,0.524291579796729,0.1800868813968779,2.402284944175124,1.852903127670288,484.9427795410156,3.2833333333333337,18.0,2017-09-07 20:07:00,2017,True,True,2.0,2.0
