,index_m,index_a,Unnamed: 0,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,model_field_line_length_idl,TIME,GSM_X,GSM_Y,GSM_Z,MLT_x,L,STORM_PHASE,BX_GSM,DIST,BETA,datetime_str,KP,SW_P,DST,IMF_BY,IMF_BZ,direction,p_value,region,index_x,location,direction_et,dispersion_time,Start_time_x,Duration_datetime_x,End_time_x,BeforePeriod,AfterPeriod,overlap,Full list Index,Event Time,Duration,DIP,LANL,Max E,Min E,Flow Dir,GSM-x,GSM-y,GSM-z,RE,Dipole L,MLT_y,Blasma,AE,Unnamed: 16,Comments,max_v,min_v,mean_E,estimated_distance_m,Start_time_y,Duration_datetime_y,End_time_y,direction_m,index_auto,index_y,good_fit
0,0.0,977.0,977.0,8.644523249190337,2016-04-12,2.0,6.0,3.338657330047268,4.0,603.0963185628257,8.626510265843757,1460447760.0,-7.198486481755414,-4.222959117150978,-2.253035387541954,2.0475824915554983,9.438802337607116,0.0,-56.29914410909018,8.644648745931327,0.3877347747224952,2016-04-12 07:51:00,2.0,3.021000051498413,-6.083333333333332,-6.72416655222575,-1.6699999769528708,PARA,0.5028307429958526,BL,977.0,south,outward,12.0,2016-04-12 07:51:00,0 days 00:12:00.000000000,2016-04-12 08:03:00,True,False,False,390.0,2016-04-12/07:46:00,22.0,Y,N,3580.0,69.0,3.0,-7.127033099999999,-4.028171700000001,-2.208898,8.4793867,9.2349634,1.9826278000000002,,,,,208.50919535148262,28.947312153581567,1824.5,6.956634538167292,2016-04-12 07:46:00,0 days 00:22:00.000000000,2016-04-12 08:08:00,PARA,[977],0.0,False
1,1.0,493.0,493.0,4.665592841683991,2016-04-13,3.0,4.0,1.732838510532766,2.0,205.2445659637452,8.16407041271506,1460532120.0,-7.045838583524865,-3.5640071905343684,-2.099944527187689,1.802152717287889,8.85970800972509,3.0,-74.52967834472656,8.170486077175777,0.18891601218271845,2016-04-13 07:19:00,2.0,2.822499990463257,-50.875,1.5312500149011614,-1.0462499856948853,PARA,0.4204543968523122,BL,493.0,south,outward,8.0,2016-04-13 07:19:00,0 days 00:08:00.000000000,2016-04-13 07:27:00,True,False,False,469.0,2016-04-13/06:28:00,58.0,Y,Y,13700.0,36.0,3.0,-6.438749,-2.4081650000000003,-1.7526422,7.0942584,7.574859399999999,1.3697694999999999,,,,,407.8908682649483,20.90908120889383,6868.0,12.024682063513193,2016-04-13 06:28:00,0 days 00:58:00.000000000,2016-04-13 07:26:00,PARA,"[493, 890, 4324]",1.0,False
2,1.0,890.0,890.0,7.263475845486487,2016-04-13,2.0,5.0,4.305421388985407,3.0,652.319451904297,7.736480501905452,1460530740.0,-6.815143854809707,-3.0803420918945665,-1.9672415335647269,1.629277288680964,8.333821396153768,3.0,-76.18346557617187,7.733473744558265,0.32770481912272137,2016-04-13 06:55:00,2.0,2.9839999198913576,-56.9,-5.682999992370607,-0.4230000257492064,PARA,0.2303168689752503,BL,890.0,south,outward,10.0,2016-04-13 06:55:00,0 days 00:10:00.000000000,2016-04-13 07:05:00,True,False,False,469.0,2016-04-13/06:28:00,58.0,Y,Y,13700.0,36.0,3.0,-6.438749,-2.4081650000000003,-1.7526422,7.0942584,7.574859399999999,1.3697694999999999,,,,,407.8908682649483,20.90908120889383,6868.0,12.024682063513193,2016-04-13 06:28:00,0 days 00:58:00.000000000,2016-04-13 07:26:00,PARA,"[493, 890, 4324]",1.0,False
4,2.0,687.0,687.0,6.481543724709248,2016-04-22,7.0,4.0,1.733558437933196,2.0,397.36164474487305,11.49351932599345,1461337800.0,-7.53524853121808,-8.559239937285703,-3.5284017173222524,3.7393369391741635,15.972582591492555,0.0,-28.828489780426025,11.93694808145359,0.7320867854390672,2016-04-22 15:07:00,4.0,2.934999942779541,-1.125,8.96249985694885,0.12124998494982725,PARA,0.4203030757685322,BL,687.0,south,outward,8.0,2016-04-22 15:07:00,0 days 00:08:00.000000000,2016-04-22 15:15:00,True,False,False,675.0,2016-04-22/14:54:00,20.0,Y,Y,14400.0,69.0,3.0,-7.6615023,-8.5227417,-3.4345263999999998,11.963767,15.852439000000002,3.6756064,,,,,418.1816241778766,28.947312153581567,7234.5,5.8512583004251475,2016-04-22 14:54:00,0 days 00:20:00.000000000,2016-04-22 15:14:00,PARA,[687],2.0,False
5,4.0,698.0,698.0,6.483390075164175,2016-05-06,3.0,4.0,1.73355623934771,2.0,397.3616790771485,8.916996515144367,1462512600.0,-8.659012015432825,-1.6861960456757812,-1.6665748566080056,0.7583323846597825,9.888687375997225,0.0,-57.75885200500488,8.977758564651142,0.4502319319018988,2016-05-06 05:27:00,2.0,,-10.25,,,PARA,0.4203035378049073,BL,698.0,south,outward,8.0,2016-05-06 05:27:00,0 days 00:08:00.000000000,2016-05-06 05:35:00,True,False,False,535.0,2016-05-06/05:11:00,40.0,Y,Y,6700.0,36.0,3.0,-8.4150141,-1.3876064,-1.588172,8.675263900000001,9.531986,0.64384228,,,,,285.2470097175421,20.90908120889383,3368.0,8.490118684761775,2016-05-06 05:11:00,0 days 00:40:00.000000000,2016-05-06 05:51:00,PARA,[698],4.0,False
6,5.0,1266.0,1266.0,9.438160534626975,2016-05-06,5.0,4.0,1.337066654866423,2.0,1327.674285888672,10.753007809637065,1462521960.0,-9.90939927867176,-4.003682380925909,-1.9306037431460097,1.537713152216604,12.253180767887466,0.0,-37.609309196472175,10.860642034399646,0.4410034446752672,2016-05-06 08:03:00,2.0,,-12.375,,,PARA,0.5124596373643764,BL,1266.0,south,outward,8.0,2016-05-06 08:03:00,0 days 00:08:00.000000000,2016-05-06 08:11:00,True,False,False,998.0,2016-05-06/07:42:00,58.0,Y,N,25600.0,247.0,3.0,-9.797702000000001,-3.6771236000000003,-1.9245093999999998,10.639565,11.947649,1.4331151000000002,,,,,557.5754989038354,54.768667598624134,12923.5,33.13751092596975,2016-05-06 07:42:00,0 days 00:58:00.000000000,2016-05-06 08:40:00,PARA,[1266],5.0,False
7,6.0,1302.0,1302.0,9.458385297534168,2016-05-14,4.0,4.0,1.336967445807663,2.0,1327.674285888672,8.709846202399486,1463199840.0,-8.671744905656638,-0.4940509007267992,-1.352707193606398,0.2258523838227981,9.707882216419844,4.0,-64.39208126068115,8.790564021328931,0.4563290162756986,2016-05-14 04:21:00,2.0,,-22.25,,,PARA,0.5124850583140057,BL,1302.0,south,outward,8.0,2016-05-14 04:21:00,0 days 00:08:00.000000000,2016-05-14 04:29:00,True,False,False,,2016-05-14/04:16:00,14.0,Y,N,6930.0,257.0,3.0,-8.553552499999999,-0.38464838,-1.3175424999999998,8.662974900000002,9.5601824,0.17834483,,,,,290.1017284031974,55.866345213133975,3593.5,9.112411339177369,2016-05-14 04:16:00,0 days 00:14:00.000000000,2016-05-14 04:30:00,PARA,[1302],6.0,False
8,7.0,981.0,981.0,8.645189896133637,2016-05-15,3.0,6.0,3.3386564047084586,4.0,603.0959243774415,9.065087753539338,1463287200.0,-9.013484451927352,-0.6838659932127801,-1.4118714958569818,0.3008672565587305,10.127979610436032,0.0,-70.35984547932942,9.14909622961896,0.19702339934115295,2016-05-15 04:35:00,2.0,2.5730000019073485,-14.666666666666664,12.01750024159749,1.0266666909058888,PARA,0.5028308884856184,BL,981.0,south,outward,12.0,2016-05-15 04:35:00,0 days 00:12:00.000000000,2016-05-15 04:47:00,True,False,False,341.0,2016-05-15/04:32:00,16.0,Y,N,3670.0,66.0,3.0,-8.9060196,-0.57590386,-1.3821222,9.031008300000002,9.991170599999998,0.25655249,,,,,211.11385255028398,28.311029791117594,1868.0,4.921150937207091,2016-05-15 04:32:00,0 days 00:16:00.000000000,2016-05-15 04:48:00,PARA,[981],7.0,False
9,9.0,2170.0,2170.0,17.456890741413382,2016-05-16,7.0,4.0,1.7340513326401858,2.0,2883.5528259277344,11.662028056167689,1463396520.0,-10.748282670979453,-5.1422435459747735,-1.4108440868748795,1.8693913888167009,14.419289140610086,0.0,-37.72802925109863,11.998298534073177,0.3033653239977175,2016-05-16 10:59:00,3.0,2.4137499332427983,-9.375,5.387499988079071,-2.8087499439716344,PARA,0.4201995059506213,BL,2170.0,south,outward,8.0,2016-05-16 10:59:00,0 days 00:08:00.000000000,2016-05-16 11:07:00,True,False,False,935.0,2016-05-16/10:56:00,26.0,Y,Y,14200.0,246.0,3.0,-10.772249,-5.0758449,-1.4159918,11.992105,14.3653,1.8409624,,,,,415.2674310142288,54.657687408397855,7223.0,15.394734990455376,2016-05-16 10:56:00,0 days 00:26:00.000000000,2016-05-16 11:22:00,PARA,"[2170, 4560]",9.0,False
11,10.0,1150.0,1150.0,9.035233360407373,2016-05-16,8.0,4.0,1.7339625732684982,2.0,769.3037796020509,10.858199477051981,1463410080.0,-9.158558735261288,-6.46686334418149,-1.7006276286626967,2.759991757678897,15.231706758523009,0.0,-56.29301166534424,11.339847766301535,0.16232171245994226,2016-05-16 14:45:00,3.0,2.681666692097982,-11.125,5.0287500619888315,0.2887500002980231,PARA,0.4202181546864964,BL,1150.0,south,outward,8.0,2016-05-16 14:45:00,0 days 00:08:00.000000000,2016-05-16 14:53:00,True,False,False,505.0,2016-05-16/14:34:00,20.0,Y,Y,6730.0,128.0,3.0,-9.304835699999998,-6.4241106,-1.16577553,11.427918,15.246857,2.7011523,,,,,285.8849091568721,39.42654162983744,3429.0,8.604458528064045,2016-05-16 14:34:00,0 days 00:20:00.000000000,2016-05-16 14:54:00,PARA,[1150],10.0,False
