,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,Time,GSM_X,GSM_Y,GSM_Z,Storm_phase,DIST,Beta,datetime_str,kp,SW_p,Dst,IMF_By,IMF_Bz,direction,FlLen,goodness_of_fit,region
0,1.287961597348218,2016-01-07,1.0,5,9.13486844320556,3.0,25.367474640000005,1452167560.0,6.49577426,0.17685291919999999,-0.5554891339999999,0.0,6.5230317,0.06269775400000001,2016-01-07 11:43:20,3.0,2.0986667199999998,-12.959999999999999,0.818800002,-0.9676000072,para,18.25517339292531,0.02755045306096271,BL
1,1.3017759,2016-10-16,1.0,6,17.291354,4.0,842.5522045833335,1476582900.0,-1.23896875,7.622668983333334,-0.9836428666666667,4.0,7.7860066,0.8484324716666666,2016-10-16 01:43:20,2.0,1.9477222333333335,-21.599999666666665,-0.727000035,0.9490000149999999,para,8.514899979392283,0.0016965353035883757,BL
2,1.3536456,2016-02-01,1.0,5,3.1807721,3.0,26.8886689,1454316160.0,6.27221338,-2.61009862,-0.864325708,3.0,6.84935952,0.16025654,2016-02-01 08:33:20,2.0,3.9156668249999997,-50.079999400000005,-1.907200018,-2.67599996,para,19.731991463150322,0.3645846157713014,BL
3,1.4401527,2016-01-10,1.0,4,5.1936062,2.0,30.475434850000003,1452450600.0,3.6570388250000003,-7.020688724999999,-2.18876195,0.0,8.213521449999998,0.22534212,2016-01-10 18:23:20,2.0,1.5270000250000002,0.6,3.3663333249999994,1.6233333,para,16.257091859956336,0.07451140336558926,BL
4,1.5060449,2016-03-10,1.0,6,9.7671512,4.0,232.2680012,1457583600.0,3.5933429500000003,-4.9091718,-2.6495274833333333,4.0,6.637396150000001,0.0437704565,2016-03-10 04:06:40,2.0,0.965000005,-24.9333335,-2.220666683333333,-2.5370000166666666,para,13.373695167904346,0.04453807099150464,Lobe
5,1.5245779,2016-03-03,3.0,4,9.546986,2.0,348.90089067499997,1457003100.0,-3.4621410249999998,-5.4797613,-2.0168944,0.0,6.7890298499999995,0.1760571525,2016-03-03 10:56:40,2.0,1.735875,-7.800000025,1.0774999975,4.07400005,para,7.323626314618305,0.008450809866637488,BL
6,1.5246605,2016-03-12,1.0,4,2.6972906,2.0,10.6155035,1457778600.0,-4.288052625000001,-5.63635545,-2.257541175,0.0,7.43369595,0.236091825,2016-03-12 10:23:20,2.0,,-9.95000005,,,para,8.001065578233037,0.2595916914148739,BL
7,1.7649978,2016-11-27,1.0,4,9.2813894,2.0,15.273529025,1480283100.0,2.802954175,5.95906205,1.39164685,0.0,6.7314825250000005,0.19454716,2016-11-27 21:36:40,2.0,1.46100005,-10.8,3.708874925,-1.6978750224999999,para,11.517525827004215,0.009650990754897837,BL
8,2.021244,2016-02-11,1.0,4,4.7260721,2.0,41.084119425,1455174300.0,6.003479625,-4.073953700000001,-1.549585675,0.0,7.419412974999999,0.10992567624999999,2016-02-11 06:56:40,2.0,1.6891250000000002,-19.05000025,-2.8915000500000003,-5.9019998000000005,para,18.824379671737173,0.09413399340151407,BL
9,2.2288567,2016-02-12,1.0,4,1.3842577,2.0,7.544897949999999,1455260100.0,5.9522680999999995,-4.2165419,-1.6401357749999999,0.0,7.477051825,0.307899015,2016-02-12 06:46:40,2.0,3.465999975,-8.60000005,-9.502499575,9.62200025,para,21.85821622010285,0.5005094246172779,BL
10,2.4973697,2016-12-07,1.0,4,0.11889995,2.0,68.027754,1481143200.0,3.61636795,5.289116075000001,1.730954125,0.0,6.6376685,0.49491360000000006,2016-12-07 20:33:20,2.0,5.663749800000001,-15.100000000000001,1.59300003,10.014500375,para,12.589728266853701,0.9422826701027902,BL
11,2.8609752,2016-10-23,2.0,5,10.869932,3.0,27.471837479999998,1477213960.0,6.385978339999999,4.14294656,-3.4246508999999996,2.0,8.3475452,0.259508966,2016-10-23 09:03:20,2.0,3.2806999600000006,-9.48000012,3.7512001399999995,2.0143999399999997,para,19.375234593400762,0.012450400691993546,BL
12,2.9541632,2016-12-18,1.0,4,2.6675609,2.0,39.79144475,1482088800.0,4.614798,4.48082535,1.964552475,0.0,6.726278625,0.22529483,2016-12-18 19:13:20,2.0,2.30750005,-16.4,3.359500175,0.4095000525,para,15.750008074438364,0.2634793057863518,BL
13,2.954234,2016-02-14,1.0,4,2.6675642,2.0,39.791484749999995,1455431700.0,5.8390078,-4.49733065,-1.831674075,0.0,7.59489535,0.0729085445,2016-02-14 06:26:40,2.0,2.1168888999999997,-2.1500000000000004,2.187666725,-0.9000833624999999,para,19.341662811283012,0.26347887104585577,BL
14,3.0753962,2016-02-28,3.0,4,3.209142,2.0,17.674991175,1456632900.0,4.594406125,-6.083216050000001,-3.3882689999999998,0.0,8.342742399999999,0.24655255249999997,2016-02-28 04:06:40,0.0,1.8036666749999999,7.750000125,1.697500005,4.757499950000001,para,17.748638491757127,0.20097575501788967,BL
15,3.0971024,2016-02-05,1.0,4,1.3843608,2.0,14.604385175,1454660700.0,5.949743475,-2.728471475,-0.9194497675000001,0.0,6.610495325,0.09576033775000001,2016-02-05 08:16:40,2.0,3.0298749249999997,-6.800000075,0.8765000475,-0.6740000150000001,para,17.81065848589394,0.5004836240214549,BL
16,3.1012111,2016-03-04,3.0,4,1.3843389,2.0,14.604385175,1457067000.0,4.127462525,-4.96693425,-2.561285625,0.0,6.948083625,0.09572027675,2016-03-04 04:43:20,1.0,1.0280000225,-6.54999995,1.71324995,2.27275005,para,14.702277231628663,0.5004891043471428,BL
17,3.1012921,2016-03-11,2.0,4,1.3843395,2.0,14.604382575,1457670000.0,3.513101425,-4.785030975000001,-2.568732675,4.0,6.4689611,0.091924451,2016-03-11 04:13:20,2.0,2.921499925,-15.200000000000001,-2.370750025,-3.075625025,para,13.08079978995721,0.5004889542004338,BL
18,3.1049621,2016-10-17,2.0,4,1.3843528,2.0,14.604385175,1476670800.0,-1.4514946750000002,6.925992775,-0.8547875375,4.0,7.128422225,0.5385942625,2016-10-17 02:13:20,2.0,3.060125125,-14.8,-2.586999975,0.3429999775,para,7.789382261299673,0.5004856259599549,BL
19,3.1151296,2016-04-19,3.0,4,8.7042203,2.0,701.5859279999999,1461056400.0,-8.340152100000001,-5.381514725,-2.4041908750000003,0.0,10.21290025,0.481070405,2016-04-19 08:53:20,0.0,0.80000001,-8.79999995,2.3160001,2.5639999500000004,para,12.204868454234678,0.012879605985007148,BL
20,3.123758406616639,2016-01-21,1.0,5,3.215702556700785,3.0,15.49429528,1453370840.0,6.52610428,-1.3865669,-0.58244957,3.0,6.69819672,0.132085052,2016-01-21 09:56:40,3.0,5.16600008,-54.8,-9.0611999,10.85493286,para,34.999925819815765,0.359548649760947,BL
21,3.1995109,2016-02-09,1.0,6,10.376625000000002,4.0,105.97722745000003,1455002100.0,6.180529033333333,-4.003781966666666,-1.4826264833333334,0.0,7.512921033333335,0.13960470166666666,2016-02-09 07:03:20,1.0,,8.733333166666666,,,para,17.23607296824895,0.03453955577248091,BL
22,3.2163912,2016-02-14,2.0,4,6.3973866,2.0,26.696256674999997,1455432900.0,5.6992966,-4.060647375,-1.59236905,0.0,7.177369875,0.0645468795,2016-02-14 06:46:40,2.0,2.1400001,-4.500000075,1.08854174,-2.3125001750000003,para,18.01756724264465,0.04081550276548351,BL
